algorithm,display_algorithm,frozen_prob,map_id,map_label,seed,episode,success_rate,suite,map_size,oracle_success,holes,oracle_gap,eval_auc,first_episode_success_ge_0p8,suite_label
sarsa_lambda,SARSA(lambda),0.95,1,p0.95_m1,0,10000,0.74,random8,8x8,0.9733333333333334,6,0.2333333333333334,0.6065,1500.0,Random 8x8 long
q_lambda,Q(lambda),0.95,1,p0.95_m1,0,10000,0.86,random8,8x8,0.9733333333333334,6,0.1133333333333334,0.5445,5000.0,Random 8x8 long
optimistic_q,Optimistic Q,0.95,1,p0.95_m1,0,10000,0.98,random8,8x8,0.9733333333333334,6,-0.006666666666666599,0.9355,1000.0,Random 8x8 long
dyna_q,Dyna-Q,0.95,1,p0.95_m1,0,10000,0.74,random8,8x8,0.9733333333333334,6,0.2333333333333334,0.7975,1500.0,Random 8x8 long
q_learning,Q-learning,0.95,2,p0.95_m2,0,10000,1.0,random8,8x8,1.0,2,0.0,0.9725,500.0,Random 8x8 long
sarsa,SARSA,0.95,2,p0.95_m2,0,10000,1.0,random8,8x8,1.0,2,0.0,0.9675,500.0,Random 8x8 long
expected_sarsa,Expected SARSA,0.95,2,p0.95_m2,0,10000,1.0,random8,8x8,1.0,2,0.0,0.9615,500.0,Random 8x8 long
sarsa_lambda,SARSA(lambda),0.95,2,p0.95_m2,0,10000,1.0,random8,8x8,1.0,2,0.0,0.9345,500.0,Random 8x8 long
q_lambda,Q(lambda),0.95,2,p0.95_m2,0,10000,0.98,random8,8x8,1.0,2,0.020000000000000018,0.951,500.0,Random 8x8 long
optimistic_q,Optimistic Q,0.95,2,p0.95_m2,0,10000,1.0,random8,8x8,1.0,2,0.0,0.9695,500.0,Random 8x8 long
dyna_q,Dyna-Q,0.95,2,p0.95_m2,0,10000,0.98,random8,8x8,1.0,2,0.020000000000000018,0.895,1000.0,Random 8x8 long
q_learning,Q-learning,0.95,3,p0.95_m3,0,10000,0.9,random8,8x8,1.0,5,0.09999999999999998,0.7605,3000.0,Random 8x8 long
