episode,reward,steps,epsilon,alpha,is_slippery,seed,backend
307,0.0,4,0.0,0.1,True,2,native
308,0.0,2,0.0,0.1,True,2,native
309,0.0,12,0.0,0.1,True,2,native
310,0.0,2,0.0,0.1,True,2,native
311,0.0,6,0.0,0.1,True,2,native
312,0.0,3,0.0,0.1,True,2,native
313,0.0,11,0.0,0.1,True,2,native
314,0.0,24,0.0,0.1,True,2,native
315,0.0,14,0.0,0.1,True,2,native
316,0.0,4,0.0,0.1,True,2,native
317,0.0,11,0.0,0.1,True,2,native
318,0.0,15,0.0,0.1,True,2,native
319,0.0,3,0.0,0.1,True,2,native
320,0.0,11,0.0,0.1,True,2,native
321,0.0,5,0.0,0.1,True,2,native
322,0.0,6,0.0,0.1,True,2,native
323,0.0,10,0.0,0.1,True,2,native
324,0.0,4,0.0,0.1,True,2,native
325,0.0,13,0.0,0.1,True,2,native
326,0.0,5,0.0,0.1,True,2,native
327,0.0,6,0.0,0.1,True,2,native
328,0.0,8,0.0,0.1,True,2,native
329,0.0,2,0.0,0.1,True,2,native
330,0.0,18,0.0,0.1,True,2,native
331,0.0,4,0.0,0.1,True,2,native
332,1.0,11,0.0,0.1,True,2,native
333,0.0,25,0.0,0.1,True,2,native
334,0.0,8,0.0,0.1,True,2,native
335,0.0,4,0.0,0.1,True,2,native
336,0.0,5,0.0,0.1,True,2,native
337,0.0,6,0.0,0.1,True,2,native
338,0.0,4,0.0,0.1,True,2,native
339,0.0,3,0.0,0.1,True,2,native
340,0.0,3,0.0,0.1,True,2,native
341,0.0,19,0.0,0.1,True,2,native
342,0.0,4,0.0,0.1,True,2,native
343,0.0,5,0.0,0.1,True,2,native
344,0.0,20,0.0,0.1,True,2,native
345,0.0,2,0.0,0.1,True,2,native
346,0.0,5,0.0,0.1,True,2,native
347,0.0,11,0.0,0.1,True,2,native
348,0.0,6,0.0,0.1,True,2,native
349,0.0,3,0.0,0.1,True,2,native
350,0.0,6,0.0,0.1,True,2,native
351,0.0,4,0.0,0.1,True,2,native
352,0.0,7,0.0,0.1,True,2,native
353,0.0,4,0.0,0.1,True,2,native
354,0.0,8,0.0,0.1,True,2,native
355,0.0,7,0.0,0.1,True,2,native
356,0.0,6,0.0,0.1,True,2,native
357,0.0,5,0.0,0.1,True,2,native
358,0.0,4,0.0,0.1,True,2,native
359,0.0,2,0.0,0.1,True,2,native
360,0.0,3,0.0,0.1,True,2,native
361,0.0,14,0.0,0.1,True,2,native
362,0.0,5,0.0,0.1,True,2,native
363,0.0,2,0.0,0.1,True,2,native
364,0.0,12,0.0,0.1,True,2,native
365,0.0,9,0.0,0.1,True,2,native
366,0.0,3,0.0,0.1,True,2,native
367,0.0,5,0.0,0.1,True,2,native
368,0.0,2,0.0,0.1,True,2,native
369,0.0,13,0.0,0.1,True,2,native
370,0.0,11,0.0,0.1,True,2,native
371,0.0,2,0.0,0.1,True,2,native
372,0.0,6,0.0,0.1,True,2,native
373,0.0,8,0.0,0.1,True,2,native
374,0.0,13,0.0,0.1,True,2,native
375,0.0,3,0.0,0.1,True,2,native
376,0.0,19,0.0,0.1,True,2,native
377,0.0,8,0.0,0.1,True,2,native
378,0.0,26,0.0,0.1,True,2,native
379,0.0,7,0.0,0.1,True,2,native
380,0.0,5,0.0,0.1,True,2,native
381,0.0,6,0.0,0.1,True,2,native
382,0.0,25,0.0,0.1,True,2,native
383,0.0,9,0.0,0.1,True,2,native
384,0.0,6,0.0,0.1,True,2,native
385,0.0,6,0.0,0.1,True,2,native
386,0.0,6,0.0,0.1,True,2,native
387,0.0,4,0.0,0.1,True,2,native
388,0.0,2,0.0,0.1,True,2,native
389,0.0,11,0.0,0.1,True,2,native
390,0.0,18,0.0,0.1,True,2,native
391,0.0,6,0.0,0.1,True,2,native
392,0.0,6,0.0,0.1,True,2,native
393,0.0,3,0.0,0.1,True,2,native
394,0.0,4,0.0,0.1,True,2,native
395,0.0,2,0.0,0.1,True,2,native
396,0.0,10,0.0,0.1,True,2,native
397,0.0,26,0.0,0.1,True,2,native
398,0.0,2,0.0,0.1,True,2,native
399,0.0,5,0.0,0.1,True,2,native
400,0.0,5,0.0,0.1,True,2,native
401,0.0,10,0.0,0.1,True,2,native
402,0.0,8,0.0,0.1,True,2,native
403,0.0,13,0.0,0.1,True,2,native
404,0.0,11,0.0,0.1,True,2,native
405,0.0,10,0.0,0.1,True,2,native
406,0.0,15,0.0,0.1,True,2,native
407,0.0,5,0.0,0.1,True,2,native
408,0.0,12,0.0,0.1,True,2,native
409,0.0,3,0.0,0.1,True,2,native
410,0.0,2,0.0,0.1,True,2,native
411,0.0,10,0.0,0.1,True,2,native
412,0.0,4,0.0,0.1,True,2,native
413,0.0,2,0.0,0.1,True,2,native
414,0.0,6,0.0,0.1,True,2,native
415,0.0,6,0.0,0.1,True,2,native
416,0.0,11,0.0,0.1,True,2,native
417,0.0,3,0.0,0.1,True,2,native
418,0.0,5,0.0,0.1,True,2,native
419,0.0,3,0.0,0.1,True,2,native
420,0.0,8,0.0,0.1,True,2,native
421,0.0,3,0.0,0.1,True,2,native
422,0.0,12,0.0,0.1,True,2,native
423,0.0,14,0.0,0.1,True,2,native
424,0.0,4,0.0,0.1,True,2,native
